gene	wbid	n_strains	fluor_tags	other_tags	cgc_strains
exc-1	WBGene00001362	1	GFP	FLAG	BK597
exc-2/ifc-2	WBGene00002056	4	GFP;YFP	FLAG	BK531;BK533
exc-5	WBGene00001366	1	mScarlet	ZF	
exc-7	WBGene00001368	2	GFP	FLAG	OH16020
exc-9	WBGene00017644	5	GFP	FLAG	BK585;BK587;BK588;BK589;BK590
exl-1	WBGene00001371	1	mNG		
farl-11	WBGene00017349	1	mNG	FLAG;TEV	
fasn-1	WBGene00009342	3	GFP;mNG		AG400;NK2636
fat-6	WBGene00001398	2	GFP;YFP		PHX649
fat-7	WBGene00001399	1		AID;FLAG	
fbf-1	WBGene00001401	1		FLAG	
fbf-2	WBGene00001402	10	GFP;TagRFP;eGFP	FLAG;V5;λN	JH3201;JK5810;JK5842;JK5935;SHG2152
fbl-1	WBGene00001403	3	mNG		NK2579;NK2644
fbn-1	WBGene00022816	2	mNG		NK2688
fbxa-192	WBGene00010212	1	GFP		
fbxa-215	WBGene00012879	1	GFP		
fbxl-2	WBGene00007168	1	GFP		
fbxl-5/T05B11.1	WBGene00020245	1		AID;FLAG	
fce-1	WBGene00001405	2	mNG		NK3017
fdgt-1	WBGene00019207	5	mKate;mNG	ZF	NK2540;NK2794
fer-1	WBGene00001414	1	mNG		
fhip-1/C05D11.8	WBGene00015485	1	GFP		
fib-1	WBGene00001423	7	GFP;Ruby;mScarlet;smScarlet(11)	FLAG	CF4601;CF4611;CF4639
fig-1	WBGene00009968	3	sfGFP		PHX7231
fkh-9	WBGene00001441	1	GFP	TY1	
fli-1	WBGene00001443	1	mNG		LP897
fln-2	WBGene00016006	4	GFP;TagRFP-T;mTagBFP;sGFP(11)		
flor-1	WBGene00011339	1	GFP		
fnta-1	WBGene00019823	2	mNG		NK2929
fog-3	WBGene00001483	1	GFPNovo2	AID;FLAG;TEV	
fos-1	WBGene00001345	5	GFP;TagRFP-T;mNG	AID	DQM497
fox-1	WBGene00001484	1	GFP	FLAG	OH16704
frm-1	WBGene00001488	1	GFP		
fsn-1	WBGene00001499	1	GFP		
fust-1	WBGene00016173	5	GFP;mRFP	FLAG	OH16464
fut-1	WBGene00001505	1	GFPNovo2	AID;FLAG;TEV	
fzo-1	WBGene00001509	2	GFP;GFPNovo2	AID;FLAG;TEV	SHX324
fzr-1	WBGene00001510	1		V5	JK6673
garr-1	WBGene00022046	3	GFP;sGFP(11);smScarlet(11)		
gas-1	WBGene00001520	1	mNG		
gck-2	WBGene00022603	1	mNG	FLAG	
gcna-1	WBGene00022694	3	GFP	HA;OLLAS	
gcy-22	WBGene00001547	1	GFP		GJ3452
gcy-28	WBGene00020131	1	GFP		
gcy-9	WBGene00001536	1	GFPNovo2	AID;FLAG;TEV	
gei-17	WBGene00001574	4	GFP	AID;FLAG;degron	FGP29;FGP30
gex-3	WBGene00001580	5	GFP;mNG;mTurquoise2	AID;FLAG	LP362
gid-2	WBGene00020301	1	mScarlet3		
gip-1	WBGene00001589	5	GFP;TagRFP-T	FLAG;Myc;ZF	JLF14;JLF173;JLF24
gip-2	WBGene00044008	3	GFP;GFPNovo2	AID;FLAG;TEV	CZ24092
git-1	WBGene00008805	3	GFP;mNG	His	ML2550
gla-3	WBGene00011376	1	GFP	FLAG	DG4230
gld-1	WBGene00001595	5	GFP;GFPNovo2;mKate2;mScarlet	AID;FLAG;TEV	SHG2362;SHG3115
gld-2	WBGene00001596	1	GFP	FLAG	SHG2672
gld-3	WBGene00001597	2	GFP	FLAG	SHG2537
gld-4	WBGene00014115	3	GFP;GFPNovo2	AID;FLAG;TEV	SHG2540;SHG2957
gldi-2/T13C2.6	WBGene00020481	1	mNG	FLAG	GLW35
glh-1	WBGene00001598	9	GFP;Gamillus;TagRFP;eGFP;mCherry	FLAG;HA	SHG2609;SHG2848;SHG833
glh-2	WBGene00001599	2	GFP;GFPNovo2	AID;FLAG;TEV	SHG2429
glh-3	WBGene00001600	1	GFP	FLAG	SHG2536
glh-4	WBGene00001601	2	GFP;GFPNovo2	AID;FLAG;TEV	SHG2430
glna-1	WBGene00007480	1	GFP		
glna-2	WBGene00008435	1	GFP		
glna-3	WBGene00009271	1	GFP		
glo-1	WBGene00011083	2	GFP;GFPNovo2	AID;FLAG;TEV	
glp-1	WBGene00001609	4	GFP	OLLAS;V5	JK5933;JK5973
glt-1	WBGene00001620	1	mNG		
gmeb-3	WBGene00008092	1	mNG		
golg-2	WBGene00018017	1	mScarlet		PHX6680
golg-4	WBGene00010306	4	GFP;mScarlet;mScarlet-I3;mScarlet3		OH19204;OH19205;OH19206;PHX6547
golg-5	WBGene00011975	1	mScarlet		PHX5400
gon-1	WBGene00001650	4	mNG		NK2590;NK2920;NK2922
gpb-1	WBGene00001679	1		FLAG	
gpd-3	WBGene00001685	1	GFPNovo2	AID;FLAG;TEV	
gpdh-1	WBGene00009824	1	GFP		
gpla-1	WBGene00001466	1		His	
gpn-1	WBGene00001687	2	mNG		NK2581
gpr-1	WBGene00001688	3	eGFP;mCherry	FKBP;ePDZ	
gpx-1	WBGene00009165	1	GFPNovo2	AID;FLAG;TEV	
gras-1	WBGene00009272	1	GFP		
grd-3	WBGene00001692	2	GFPNovo2;mKate2	AID;FLAG;HA;TEV	
grh-1	WBGene00001707	1	eGFP	FLAG;TY1	RW12208
grl-18	WBGene00001727	1	sfGFP		
grl-2	WBGene00001711	1	sfGFP		PHX7064
grl-26	WBGene00001735	1	mKate		
grl-4	WBGene00001713	1	Venus	FLAG	
grl-7	WBGene00001716	1	mCherry	FLAG	
grwd-1/Y54H5A.1	WBGene00021899	2	GFP	AID	ESC432;ESC444
gsk-3	WBGene00001746	1	mNG	FLAG	LP538
gskl-1	WBGene00010991	1		FLAG	
gskl-2	WBGene00007977	1		OLLAS	
