gene	go_term	go_slim_term	cellular_component
F53E2.2	GO:0005865		
F53F1.2	GO:0005829	GO:0005829	cytosol
F53F1.3	GO:0005829	GO:0005829	cytosol
F53G2.12	GO:0005739	GO:0005739	mitochondrion
F53G2.12	GO:1990221	GO:0032991	protein-containing complex
F53H4.6	GO:0005634	GO:0005634	nucleus
F53H8.3	GO:0016020	GO:0016020	membrane
F54B3.1	GO:0005777	GO:0005777	peroxisome
F54C8.1	GO:0005739	GO:0005739	mitochondrion
F54C8.1	GO:0005759		
F54D5.7	GO:0005739	GO:0005739	mitochondrion
F54D5.7	GO:0005759		
F54G2.1	GO:0005737	GO:0005737	cytoplasm
F54G2.1	GO:0005768;GO:0005770	GO:0005768	endosome
F54G2.1	GO:0099503	GO:0031410	cytoplasmic vesicle
F54H5.2	GO:0005634	GO:0005634	nucleus
F54H5.2	GO:0005737	GO:0005737	cytoplasm
F54H5.2	GO:0015630	GO:0005856	cytoskeleton
F54H5.3	GO:0005856	GO:0005856	cytoskeleton
F54H5.3	GO:0005886	GO:0005886	plasma membrane
F54H5.3	GO:0005789	GO:0016020	membrane
F55A11.1			
F55C10.5	GO:0005737	GO:0005737	cytoplasm
F55F8.7			
F56A4.3	GO:0005829	GO:0005829	cytosol
F56A4.4			
F56A8.9			
F56B3.6	GO:0016020	GO:0016020	membrane
F56C11.3	GO:0005739	GO:0005739	mitochondrion
F56C11.3	GO:0005758		
F56C9.10	GO:0005737	GO:0005737	cytoplasm
F56F11.4	GO:0005634	GO:0005634	nucleus
F56F11.4	GO:0005737	GO:0005737	cytoplasm
F56F11.4	GO:0000502;GO:0008540	GO:0032991	protein-containing complex
F57B9.1			
F57B9.3	GO:0010494;GO:0043186	GO:0043226	organelle
F57B9.8	GO:0005886	GO:0005886	plasma membrane
F57C9.6	GO:0005886	GO:0005886	plasma membrane
F57C9.6	GO:0016020	GO:0016020	membrane
F58F12.1	GO:0005739	GO:0005739	mitochondrion
F58F12.1	GO:0005743;GO:0016020	GO:0016020	membrane
F58F12.1	GO:0045259	GO:0032991	protein-containing complex
F58G11.4	GO:0005765;GO:0016020	GO:0016020	membrane
F58G6.3	GO:0016020	GO:0016020	membrane
F59A2.5	GO:0005634	GO:0005634	nucleus
F59A2.5	GO:0005737	GO:0005737	cytoplasm
F59A2.5	GO:0000408	GO:0032991	protein-containing complex
F59A3.8	GO:0005886	GO:0005886	plasma membrane
F59E12.1	GO:0035267	GO:0032991	protein-containing complex
F59F5.3	GO:0005886	GO:0005886	plasma membrane
F59F5.3	GO:0016020	GO:0016020	membrane
F59F5.3	GO:0043235	GO:0032991	protein-containing complex
F59G1.4	GO:0036064	GO:0005815	microtubule organizing center
F59G1.4	GO:0005814	GO:0043226	organelle
F59G1.4	GO:0097542		
H12D21.10	GO:0005783	GO:0005783	endoplasmic reticulum
H12D21.10	GO:0005788		
H14A12.3	GO:0005634	GO:0005634	nucleus
H14A12.3	GO:0005635	GO:0005635	nuclear envelope
H14A12.3	GO:0043291	GO:0032991	protein-containing complex
H14N18.4	GO:0005886	GO:0005886	plasma membrane
H14N18.4	GO:0016020	GO:0016020	membrane
H18N23.2	GO:0000164	GO:0032991	protein-containing complex
H40L08.3			
H43I07.1	GO:0005739	GO:0005739	mitochondrion
K02E10.7	GO:0005634	GO:0005634	nucleus
K02F3.12	GO:0005634	GO:0005634	nucleus
K02F3.12	GO:0005694	GO:0005694	chromosome
K02F3.12	GO:0005737	GO:0005737	cytoplasm
K02F3.2	GO:0005739	GO:0005739	mitochondrion
K02F3.2	GO:0005743;GO:0016020	GO:0016020	membrane
K02F6.5			
K02F6.8			
K02G10.5	GO:0005886	GO:0005886	plasma membrane
K02G10.5	GO:0016020;GO:0016323	GO:0016020	membrane
K03B8.6			
K04F10.1	GO:0005634	GO:0005634	nucleus
K04F10.2	GO:0005737	GO:0005737	cytoplasm
K04F10.2	GO:0005856	GO:0005856	cytoskeleton
K04F10.2	GO:0042995	GO:0042995	cell projection
K04F10.2	GO:0097546		
K05B2.2			
K05B2.4			
K05C4.2	GO:0005783	GO:0005783	endoplasmic reticulum
K05C4.2	GO:0005789;GO:0016020	GO:0016020	membrane
K05C4.5	GO:0030686;GO:0032040;GO:0034455	GO:0032991	protein-containing complex
K05F1.6	GO:0016020	GO:0016020	membrane
K06H7.8	GO:0005634	GO:0005634	nucleus
K06H7.8	GO:0005737	GO:0005737	cytoplasm
K06H7.8	GO:0015630	GO:0005856	cytoskeleton
K07A1.10	GO:0005634	GO:0005634	nucleus
K07A1.10	GO:0005739	GO:0005739	mitochondrion
K07A1.10	GO:0005840	GO:0005840	ribosome
K07A1.10	GO:1990904	GO:0032991	protein-containing complex
K07A3.3	GO:0005759		
K07B1.4	GO:0005783	GO:0005783	endoplasmic reticulum
K07B1.4	GO:0005789;GO:0016020	GO:0016020	membrane
K07C11.10	GO:0034464	GO:0032991	protein-containing complex
K07C5.3	GO:0005634	GO:0005634	nucleus
K07E3.4			
K07F5.8			
K07H8.2	GO:0005886	GO:0005886	plasma membrane
K07H8.2	GO:0016020	GO:0016020	membrane
K08B4.7			
K08D12.3	GO:0005737	GO:0005737	cytoplasm
K08F9.1	GO:0016020	GO:0016020	membrane
K09A9.6	GO:0005783	GO:0005783	endoplasmic reticulum
K09A9.6	GO:0016020	GO:0016020	membrane
K09B11.5	GO:0005886	GO:0005886	plasma membrane
K09C4.1	GO:0016020	GO:0016020	membrane
K09C4.4	GO:0016020	GO:0016020	membrane
K09C4.5	GO:0016020	GO:0016020	membrane
K09E2.1			
K09E4.4			
K10C3.4	GO:0005576	GO:0005576	extracellular region
K10C3.4	GO:0005783	GO:0005783	endoplasmic reticulum
K10C3.4	GO:0005886	GO:0005886	plasma membrane
K10C3.4	GO:0005789;GO:0016020	GO:0016020	membrane
K10C3.5	GO:0005829	GO:0005829	cytosol
K10C3.5	GO:1990904	GO:0032991	protein-containing complex
K10H10.6			
K11H3.3	GO:0005739	GO:0005739	mitochondrion
K11H3.3	GO:0005743;GO:0016020	GO:0016020	membrane
K12C11.1			
K12C11.3	GO:0016020	GO:0016020	membrane
K12C11.6	GO:0016020	GO:0016020	membrane
M03D4.4	GO:0005634	GO:0005634	nucleus
M04B2.4	GO:0005739	GO:0005739	mitochondrion
M04D5.1	GO:0005783	GO:0005783	endoplasmic reticulum
M04F3.5	GO:0015629	GO:0005856	cytoskeleton
M04F3.5	GO:0030175	GO:0042995	cell projection
M04F3.5	GO:0009898		
M05D6.1	GO:0005634	GO:0005634	nucleus
M05D6.1	GO:0005737	GO:0005737	cytoplasm
M106.7	GO:0005634	GO:0005634	nucleus
M106.7	GO:0000428;GO:0005666;GO:0030880	GO:0032991	protein-containing complex
M176.9	GO:0005737	GO:0005737	cytoplasm
M176.9	GO:0005886	GO:0005886	plasma membrane
M176.9	GO:0016020	GO:0016020	membrane
M18.3	GO:0005737	GO:0005737	cytoplasm
M18.6	GO:0005634	GO:0005634	nucleus
M18.6	GO:0031464	GO:0032991	protein-containing complex
M28.4	GO:0016020	GO:0016020	membrane
M28.8	GO:0016020	GO:0016020	membrane
M28.9	GO:0016020	GO:0016020	membrane
M57.2	GO:0005737	GO:0005737	cytoplasm
M57.2	GO:0005968	GO:0032991	protein-containing complex
R02E12.4	GO:0005737	GO:0005737	cytoplasm
R02E12.4	GO:0015630	GO:0005856	cytoskeleton
R02E12.4	GO:0005929;GO:0031514	GO:0005929	cilium
