gene	go_term	go_slim_term	cellular_component
srf-3	GO:0000139;GO:0016020;GO:0005794;GO:0048471	GO:0005794;GO:0016020	Golgi apparatus;membrane
srf-4			
srf-6			
srf-8			
srgp-1	GO:0005912;GO:0005938	GO:0005737;GO:0030054	cell junction;cytoplasm
sro-1	GO:0005886;GO:0016020	GO:0005886;GO:0016020	membrane;plasma membrane
srp-1	GO:0005615;GO:0005783	GO:0005783	endoplasmic reticulum
srp-2	GO:0005615		
srp-3	GO:0005615		
srp-6	GO:0005615		
srp-7	GO:0005615		
srp-8	GO:0005615		
srpa-68	GO:0005634;GO:0005730;GO:0005737;GO:0005783;GO:0005786;GO:1990904	GO:0005634;GO:0005730;GO:0005737;GO:0005783;GO:0032991	cytoplasm;endoplasmic reticulum;nucleolus;nucleus;protein-containing complex
srsx-34	GO:0005765;GO:0016020	GO:0016020	membrane
ssl-1	GO:0000812;GO:0005634	GO:0005634;GO:0032991	nucleus;protein-containing complex
ssu-1	GO:0005737;GO:0005829;GO:0016020	GO:0005737;GO:0005829;GO:0016020	cytoplasm;cytosol;membrane
ssu-2			
ssup-72	GO:0005634;GO:0005847	GO:0005634;GO:0032991	nucleus;protein-containing complex
sta-1	GO:0005634;GO:0005737	GO:0005634;GO:0005737	cytoplasm;nucleus
stam-1	GO:0005768;GO:0005769;GO:0005929;GO:0033565;GO:0042995	GO:0005768;GO:0005929;GO:0032991;GO:0042995	cell projection;cilium;endosome;protein-containing complex
stau-1	GO:0005575;GO:0043025;GO:0005886;GO:0010494;GO:0032839;GO:0043005	GO:0005737;GO:0005886;GO:0043005;GO:0043226	cytoplasm;neuron projection;organelle;plasma membrane
stdh-1	GO:0005783	GO:0005783	endoplasmic reticulum
stdh-2	GO:0005783	GO:0005783	endoplasmic reticulum
stdh-3	GO:0005783	GO:0005783	endoplasmic reticulum
stdh-4	GO:0005783;GO:0016020	GO:0005783;GO:0016020	endoplasmic reticulum;membrane
stg-1	GO:0016020;GO:0098839;GO:0032281	GO:0016020;GO:0032991	membrane;protein-containing complex
sti-1	GO:0005737;GO:0101031	GO:0005737;GO:0032991	cytoplasm;protein-containing complex
stim-1	GO:0005737;GO:0005783;GO:0005886;GO:0016020;GO:0030425;GO:0043025	GO:0005737;GO:0005783;GO:0005886;GO:0016020;GO:0043005	cytoplasm;endoplasmic reticulum;membrane;neuron projection;plasma membrane
stn-1	GO:0005737;GO:0005856;GO:0016010;GO:0016020	GO:0005737;GO:0005856;GO:0016020;GO:0032991	cytoplasm;cytoskeleton;membrane;protein-containing complex
stn-2	GO:0005737;GO:0005856;GO:0005886;GO:0016010;GO:0016020;GO:0030017;GO:0044297;GO:0043005	GO:0005737;GO:0005856;GO:0005886;GO:0016020;GO:0032991;GO:0043005	cytoplasm;cytoskeleton;membrane;neuron projection;plasma membrane;protein-containing complex
sto-1	GO:0005886;GO:0016020;GO:0043005	GO:0005886;GO:0016020;GO:0043005	membrane;neuron projection;plasma membrane
sto-2	GO:0005886;GO:0016020	GO:0005886;GO:0016020	membrane;plasma membrane
sto-3	GO:0005886;GO:0009898;GO:0016020	GO:0005886;GO:0016020	membrane;plasma membrane
sto-4	GO:0005886;GO:0016020;GO:0043005	GO:0005886;GO:0016020;GO:0043005	membrane;neuron projection;plasma membrane
sto-5	GO:0005886;GO:0016020;GO:0043005	GO:0005886;GO:0016020;GO:0043005	membrane;neuron projection;plasma membrane
sto-6	GO:0005886;GO:0016020;GO:0043005	GO:0005886;GO:0016020;GO:0043005	membrane;neuron projection;plasma membrane
strd-1	GO:0005634;GO:0005737;GO:0005938;GO:0030424;GO:0030425;GO:0043005;GO:0042995;GO:0043204;GO:0044297;GO:0045202	GO:0005634;GO:0005737;GO:0042995;GO:0043005;GO:0045202	cell projection;cytoplasm;neuron projection;nucleus;synapse
strl-1	GO:0005789;GO:0031902;GO:0140284	GO:0016020	membrane
strt-7	GO:0005737;GO:0005829	GO:0005737;GO:0005829	cytoplasm;cytosol
stt-3	GO:0005783;GO:0005789;GO:0016020;GO:0008250	GO:0005783;GO:0016020;GO:0032991	endoplasmic reticulum;membrane;protein-containing complex
suca-1	GO:0005737;GO:0005739;GO:0042709	GO:0005737;GO:0005739;GO:0032991	cytoplasm;mitochondrion;protein-containing complex
sucl-1	GO:0005739;GO:0009361	GO:0005739;GO:0032991	mitochondrion;protein-containing complex
sucl-2	GO:0005739;GO:0009361	GO:0005739;GO:0032991	mitochondrion;protein-containing complex
suco-1	GO:0005737;GO:0012505;GO:0016020	GO:0005737;GO:0016020	cytoplasm;membrane
sul-2			
sul-3			
sulp-2	GO:0005886;GO:0016020;GO:0016323;GO:0097730	GO:0005886;GO:0005929;GO:0016020	cilium;membrane;plasma membrane
sulp-3	GO:0005886;GO:0016020	GO:0005886;GO:0016020	membrane;plasma membrane
sulp-4	GO:0005886;GO:0016020;GO:0016324	GO:0005886;GO:0016020	membrane;plasma membrane
sulp-5	GO:0005886;GO:0016020;GO:0016324	GO:0005886;GO:0016020	membrane;plasma membrane
sulp-7	GO:0005886;GO:0016020	GO:0005886;GO:0016020	membrane;plasma membrane
